IDENTIFIKATOR_KLIJENTA,DOB,GRAD_STALNE_ADRESE,POSTANSKI_BROJ_STALNE_ADRESE,ZUPANIJA_STALNE_ADRESE,DRZAVA_STALNE_ADRESE,STATISTICKA_OZNAKA,ORGANIZACIJSKA_JEDINICA_KLIJENTA,DATUM_PRVOG_POCETKA_POSLOVNOG_ODNOSA,DATUM_ZADNJEG_POCETKA_POSLOVNOG_ODNOSA,SPOL,STATUS_ZAPOSLENJA,VRSTA_ZAPOSLENJA,POZICIJA,STRUCNA_SPREMA,SIFRA_VRSTE_KLIJENTA,DRZAVA_NACIONALNOSTI,GRAD_DOPISNE_ADRESE,POSTANSKI_BROJ_DOPISNE_ADRESE,ZUPANIJA_DOPISNE_ADRESE,DRZAVA_DOPISNE_ADRESE,KREDITNI_RATING,OZNAKA_AKVIZICIJE_KLIJENTA,IMA_LI_KLIJENT_KYC_BLOKADU,KLIJENT_REZIDENT,GODINE_STAZA_KOD_TRENUTNOG_POSLODAVCA,GODINE_STAZA,ZANIMANJE,KATEGORIJA_POSLODAVCA,TIP_POSLODAVCA,VRSTA_STANOVANJA,PERIOD_PROVEDEN_NA_TRENUTNOJ_ADRESI,TIP_VLASNISTVA,BROJ_CLANOVA_KUCANSTVA,BROJ_UZDRZAVANIH_CLANOVA_KUCANSTVA,KLIJENT_PREMINUO,BRACNI_STATUS,KLIJENT_PRIMA_OSNOVNO_PRIMANJE_U_BANCI
WXUUXX3WYPRI,62,SLAVONSKI BROD,35000,BRODSKO-POSAVSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,202,29/4/2006/,29/4/2006/,M,EMPLOYED,OSTALO,OSTALO,,60015,HR,SLAVONSKI BROD,35000,BRODSKO-POSAVSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
DW5YTCFU0O8W,78,SPLIT,21000,SPLITSKO-DALMATINSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,210,29/4/2006/,29/4/2006/,M,EMPLOYED,OSTALO,OSTALO,,60015,HR,SPLIT,21000,SPLITSKO-DALMATINSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
X141607IWS4F,66,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,216,29/4/2006/,29/4/2006/,M,EMPLOYED,OSTALO,OSTALO,,60015,HR,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
V39AZ2OZIZQ1,83,ZAGREB-NOVI ZAGREB,10020,GRAD ZAGREB,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,216,29/4/2006/,29/4/2006/,M,EMPLOYED,OSTALO,OSTALO,,60015,HR,ZAGREB-NOVI ZAGREB,10020,GRAD ZAGREB,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
LGPV3NDUZYV3,54,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,216,29/4/2006/,29/4/2006/,M,EMPLOYED,OSTALO,OSTALO,,60015,HR,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
YBFVIVY8ZF9T,76,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,216,29/4/2006/,29/4/2006/,F,EMPLOYED,OSTALO,OSTALO,,60015,HR,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
F3UIOZYIHTX9,51,ZAGREB-SUSEDGRAD,10090,GRAD ZAGREB,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,216,29/4/2006/,29/4/2006/,F,EMPLOYED,OSTALO,OSTALO,,60015,HR,ZAGREB-SUSEDGRAD,10090,GRAD ZAGREB,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
OLCVRZJTEO5I,69,VIS,21480,SPLITSKO-DALMATINSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,210,29/4/2006/,29/4/2006/,F,EMPLOYED,OSTALO,OSTALO,,60015,HR,VIS,21480,SPLITSKO-DALMATINSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
XM8IFZV0JJER,53,ŽUPANJA,32270,VUKOVARSKO-SRIJEMSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,212,29/4/2006/,29/4/2006/,F,EMPLOYED,OSTALO,OSTALO,,60015,HR,ŽUPANJA,32270,VUKOVARSKO-SRIJEMSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
NBCHRTDNWRRA,103,OSIJEK,31000,OSJEČKO-BARANJSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,225,29/4/2006/,29/4/2006/,F,EMPLOYED,OSTALO,OSTALO,,60015,HR,OSIJEK,31000,OSJEČKO-BARANJSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
